Location,Lat,Lot
"New York, NY",40.7127281,-74.0060152
"Fairfield, NJ",40.2050878,-74.2135004
"Jersey City, NJ",40.7281575,-74.0776417
"Brooklyn, NY",40.6501038,-73.9495823
"Weehawken, NJ",40.7695457,-74.0204177
"Long Island City, NY",40.7415095,-73.9569751
"Florham Park, NJ",40.787878,-74.3882072
"Manhasset, NY",40.7845923,-73.69712761362332
"Newark, NJ",40.735657,-74.1723667
"Queens Village, NY",40.7267692,-73.7415208
"Haworth, NJ",40.9609315,-73.9901383
"Fort Lee, NJ",40.8509333,-73.9701382
"South Plainfield, NJ",40.5792701,-74.4115401
"Bronx, NY",40.8506558,-73.8665241
"Little Ferry, NJ",40.8528777,-74.0420848
"Lake Success, NY",40.7706572,-73.7176312
"Summit, NJ",40.7182356,-74.3592296
"Valley Stream, NY",40.6631362,-73.7056955
"Berkeley Heights, NJ",40.6834349,-74.442653
"Essex Fells, NJ",40.8245442,-74.2845925
"Franklin Lakes, NJ",41.0167639,-74.2057012
"Mount Vernon, NY",40.9125815,-73.8370786
"Secaucus, NJ",40.7899291,-74.0566735
"West Orange, NJ",40.7987113,-74.2390353
"Far Rockaway, NY",40.6053825,-73.7551326
"Woodbridge, NJ",40.55418,-74.28600076944446
"Parsippany, NJ",40.8578772,-74.4259866
"Whippany, NJ",40.8245442,-74.4170972
"Great Neck, NY",40.8006567,-73.7284647
"Hoboken, NJ",40.7433066,-74.0323752
"Staten Island, NY",40.5834557,-74.1496048
"Harrison, NY",40.9689871,-73.71263
"Iselin, NJ",40.569334999999995,-74.31511249016258
"Montvale, NJ",41.0467635,-74.0229173
"Woodcliff Lake, NJ",41.0234304,-74.0665297
"Salt Lake City, UT",40.7596198,-111.8867975
"West Jordan, UT",40.6096698,-111.9391031
"Lehi, UT",40.3880902,-111.8491619
"Draper, UT",40.5246711,-111.8638226
"American Fork, UT",40.3768954,-111.7957645
"Sandy, UT",40.5664878,-111.838904
"Riverton, UT",40.5220027,-111.9391003
"Reedley, CA",36.5963395,-119.4504029
"Visalia, CA",36.3302284,-119.2920585
"Hanford, CA",36.3274502,-119.6456844
"Hampton, VA",37.0300969,-76.3452057
"Norfolk, VA",36.8462923,-76.2929252
"Portsmouth, VA",36.8678592,-76.37559852679193
"Chesapeake, VA",36.7183708,-76.2466798
"Smithfield, VA",36.9823313,-76.6310242
"Suffolk, VA",36.7282096,-76.5835703
"Newport News, VA",36.9786449,-76.4321089
"Virginia Beach, VA",36.8529841,-75.9774183
"Yorktown, VA",37.2378875,-76.5080633
"Fort Eustis, VA",37.1259192,-76.60135221545953
"Gainesville, FL",29.6519684,-82.3249846
"Alachua, FL",29.675568,-82.3640109
"El Segundo, CA",33.917028,-118.4156337
"Santa Monica, CA",34.0250724,-118.4965129
"Los Angeles, CA",34.0536909,-118.2427666
"Hermosa Beach, CA",33.86428,-118.39591
"Gardena, CA",33.8963593,-118.3053037
"Burbank, CA",34.1816482,-118.3258554
"Culver City, CA",34.0211224,-118.3964665
"Glendale, CA",34.1469416,-118.2478471
"Inglewood, CA",33.9562003,-118.353132
"Venice, CA",33.995044,-118.4668875
"Pasadena, CA",34.1476452,-118.1444779
"Cerritos, CA",33.8644291,-118.0539323
"Carson, CA",33.8322043,-118.2517547
"Irwindale, CA",34.1069927,-117.9342148
"Anaheim, CA",33.8347516,-117.911732
"Beverly Hills, CA",34.0696501,-118.3963062
"Long Beach, CA",33.7690164,-118.1916048
"Northridge, CA",34.2345615,-118.5369316
"Alhambra, CA",34.093042,-118.12706
"Brea, CA",33.9170444,-117.8888557
"Duarte, CA",34.1394513,-117.9772873
"Woodland Hills, CA",34.1684364,-118.6058382
"Monterey Park, CA",34.051522,-118.129807
"Marina del Rey, CA",33.9776848,-118.4486479
"Arcadia, CA",34.1362075,-118.0401497
"Torrance, CA",33.8358492,-118.3406288
"Panorama City, CA",34.2242902,-118.4453745
"Signal Hill, CA",33.804826,-118.168259
"Azusa, CA",34.1338751,-117.9056046
"City of Industry, CA",40.7630341,-111.8848752
"Pico Rivera, CA",33.9830688,-118.096735
"Whittier, CA",33.9708782,-118.0308396
"San Fernando, CA",34.28497,-118.437652
"Chicago, IL",41.8755616,-87.6244212
"Downers Grove, IL",41.7938195,-88.010376
"Broadview, IL",41.8639201,-87.8533931
"Woodridge, IL",41.7563344,-88.045559
